epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,919.377,1.05104,1.05582,1.43103,0.84966,0.78549,0.87431,0.6776,0.90251,0.82576,1.30829,0.000898525,0.000898525,0.000898525
43,940.841,1.04502,1.0923,1.42131,0.84994,0.81968,0.88069,0.69002,0.86311,0.77266,1.28279,0.00089605,0.00089605,0.00089605
44,962.316,1.04944,1.0774,1.42082,0.75695,0.84601,0.86306,0.67435,0.8954,0.85314,1.2958,0.000893575,0.000893575,0.000893575
45,983.036,1.05336,1.09857,1.42645,0.82258,0.85162,0.89434,0.69694,0.86198,0.76442,1.29616,0.0008911,0.0008911,0.0008911
46,1004.69,1.01517,1.02452,1.40087,0.81599,0.79338,0.86012,0.6946,0.81515,0.79009,1.23373,0.000888625,0.000888625,0.000888625
47,1025.68,1.03656,1.0898,1.42236,0.8426,0.82138,0.88492,0.67812,0.91539,0.79328,1.30315,0.00088615,0.00088615,0.00088615
48,1047.1,1.00382,1.01999,1.40029,0.82588,0.79744,0.86282,0.67724,0.83685,0.80681,1.27215,0.000883675,0.000883675,0.000883675
49,1068.76,1.024,1.06292,1.41008,0.89959,0.82312,0.89704,0.71955,0.8276,0.70581,1.26008,0.0008812,0.0008812,0.0008812
50,1089.5,1.0413,1.04032,1.42122,0.89146,0.83744,0.89003,0.72812,0.78953,0.68256,1.2179,0.000878725,0.000878725,0.000878725
51,1111.11,1.03654,1.01211,1.42975,0.86692,0.82784,0.89188,0.69742,0.86219,0.75033,1.27857,0.00087625,0.00087625,0.00087625
52,1132.45,0.99818,1.01913,1.39784,0.8622,0.83237,0.88864,0.70034,0.85146,0.78569,1.25858,0.000873775,0.000873775,0.000873775
53,1153.3,0.98596,1.02882,1.38405,0.8286,0.82963,0.87892,0.69295,0.89828,0.79566,1.27159,0.0008713,0.0008713,0.0008713
54,1174.64,1.00083,1.02456,1.40772,0.87472,0.86553,0.9164,0.71377,0.86661,0.7224,1.25239,0.000868825,0.000868825,0.000868825
55,1195.16,0.99973,0.99684,1.39712,0.8391,0.84546,0.89871,0.71923,0.80173,0.70938,1.24164,0.00086635,0.00086635,0.00086635
56,1216.23,0.99828,1.01946,1.3982,0.88253,0.86014,0.90629,0.69541,0.9356,0.69312,1.2854,0.000863875,0.000863875,0.000863875
57,1237.59,0.99919,0.98481,1.38143,0.86686,0.84851,0.88484,0.69546,0.87716,0.74391,1.24702,0.0008614,0.0008614,0.0008614
58,1258.19,0.9867,0.95683,1.37827,0.86737,0.85922,0.90461,0.72948,0.81545,0.70311,1.22401,0.000858925,0.000858925,0.000858925
59,1280.07,1.03913,1.024,1.42494,0.86626,0.84975,0.89201,0.70285,0.83166,0.74636,1.26275,0.00085645,0.00085645,0.00085645
60,1301.24,1.00032,1.00253,1.39262,0.8856,0.85802,0.9113,0.71213,0.83783,0.67722,1.23513,0.000853975,0.000853975,0.000853975
61,1323.02,1.00154,0.98063,1.39244,0.83535,0.8596,0.89525,0.69794,0.88189,0.77754,1.2811,0.0008515,0.0008515,0.0008515
62,1344.89,0.99613,0.9455,1.3709,0.91693,0.83937,0.9121,0.72871,0.81294,0.6671,1.23443,0.000849025,0.000849025,0.000849025
63,1365.86,0.99532,0.96571,1.388,0.85053,0.87152,0.89714,0.71823,0.81716,0.66065,1.23195,0.00084655,0.00084655,0.00084655
64,1387.56,0.9787,0.94478,1.37126,0.88728,0.86967,0.90572,0.75037,0.75682,0.66251,1.19572,0.000844075,0.000844075,0.000844075
65,1409.41,0.95985,0.94672,1.37313,0.88728,0.84622,0.90209,0.72914,0.77517,0.68548,1.22539,0.0008416,0.0008416,0.0008416
66,1430.21,0.97648,0.92565,1.36723,0.90635,0.84075,0.90785,0.72802,0.82507,0.66149,1.22483,0.000839125,0.000839125,0.000839125
67,1451.77,0.97153,0.95974,1.37668,0.85431,0.83393,0.8944,0.70736,0.84559,0.74065,1.23754,0.00083665,0.00083665,0.00083665
68,1472.41,0.96689,0.93824,1.3608,0.86906,0.8632,0.89202,0.68302,0.91431,0.7146,1.29647,0.000834175,0.000834175,0.000834175
69,1493.95,0.9564,0.93972,1.36439,0.91921,0.84852,0.90437,0.73477,0.7786,0.63514,1.19687,0.0008317,0.0008317,0.0008317
70,1515.44,0.95183,0.93036,1.36911,0.86688,0.85578,0.89519,0.71599,0.82203,0.71808,1.22567,0.000829225,0.000829225,0.000829225
71,1536.21,0.95581,0.9741,1.36068,0.86792,0.84731,0.88394,0.72612,0.77393,0.72379,1.20148,0.00082675,0.00082675,0.00082675
72,1557.85,0.9586,0.92306,1.36928,0.84001,0.83798,0.88724,0.71734,0.80155,0.70929,1.20335,0.000824275,0.000824275,0.000824275
73,1578.74,0.94768,0.93037,1.36261,0.90216,0.84137,0.91747,0.74054,0.79774,0.66369,1.21365,0.0008218,0.0008218,0.0008218
74,1599.89,0.93399,0.89364,1.33886,0.92416,0.82757,0.91056,0.73134,0.78251,0.65432,1.2169,0.000819325,0.000819325,0.000819325
75,1621.61,0.95186,0.93803,1.34509,0.89646,0.82362,0.90245,0.71546,0.82329,0.70862,1.19421,0.00081685,0.00081685,0.00081685
76,1642.36,0.93788,0.9221,1.36689,0.88996,0.86866,0.90621,0.74271,0.7908,0.6438,1.18547,0.000814375,0.000814375,0.000814375
77,1664.03,0.93624,0.89766,1.3485,0.91004,0.86505,0.9131,0.75162,0.75324,0.64957,1.15882,0.0008119,0.0008119,0.0008119
78,1685.51,0.92654,0.89178,1.33981,0.90648,0.88067,0.92313,0.73055,0.8521,0.59982,1.24759,0.000809425,0.000809425,0.000809425
79,1706.5,0.9332,0.89184,1.35385,0.90374,0.84156,0.90953,0.75195,0.75619,0.62428,1.17038,0.00080695,0.00080695,0.00080695
80,1728.32,0.91213,0.88623,1.33287,0.87821,0.83418,0.90224,0.73604,0.75752,0.67705,1.19709,0.000804475,0.000804475,0.000804475
81,1749.19,0.94471,0.90135,1.34825,0.8527,0.89792,0.91701,0.75042,0.75565,0.65318,1.18147,0.000802,0.000802,0.000802
82,1770.88,0.94684,0.89345,1.35355,0.89439,0.85002,0.90376,0.72129,0.85123,0.69779,1.21617,0.000799525,0.000799525,0.000799525
83,1792.43,0.93258,0.88269,1.35387,0.86773,0.87302,0.91162,0.7331,0.78672,0.62754,1.21521,0.00079705,0.00079705,0.00079705
84,1813.28,0.95557,0.93666,1.36196,0.87996,0.87883,0.9156,0.75274,0.75458,0.63511,1.1674,0.000794575,0.000794575,0.000794575
85,1835.28,0.91308,0.88391,1.32207,0.87001,0.8519,0.92002,0.75883,0.71918,0.64168,1.1292,0.0007921,0.0007921,0.0007921
86,1856.8,0.93933,0.89072,1.34588,0.8973,0.8104,0.89259,0.75347,0.71244,0.71215,1.14073,0.000789625,0.000789625,0.000789625
87,1878.13,0.92739,0.91101,1.33759,0.87487,0.86898,0.87681,0.74493,0.67321,0.64653,1.11329,0.00078715,0.00078715,0.00078715
88,1899.99,0.91705,0.86009,1.3205,0.84206,0.8765,0.89888,0.75738,0.71522,0.64424,1.12581,0.000784675,0.000784675,0.000784675
89,1920.98,0.9332,0.86929,1.33995,0.91141,0.85613,0.91079,0.75905,0.72577,0.59724,1.15309,0.0007822,0.0007822,0.0007822
90,1942.81,0.91977,0.86873,1.3316,0.88301,0.84273,0.9101,0.75718,0.72839,0.62863,1.16689,0.000779725,0.000779725,0.000779725
91,1964.57,0.90563,0.88408,1.33596,0.81629,0.86021,0.87922,0.73257,0.74941,0.72937,1.15449,0.00077725,0.00077725,0.00077725
92,1985.59,0.92859,0.86554,1.34056,0.85291,0.88453,0.91604,0.76733,0.72017,0.60983,1.16481,0.000774775,0.000774775,0.000774775
93,2007.56,0.93506,0.86833,1.34052,0.86947,0.8592,0.90604,0.74891,0.74848,0.62251,1.17123,0.0007723,0.0007723,0.0007723
94,2028.73,0.91024,0.87682,1.32944,0.87105,0.86547,0.9043,0.76348,0.71853,0.62352,1.16606,0.000769825,0.000769825,0.000769825
95,2049.84,0.901,0.83796,1.32099,0.85641,0.88881,0.9176,0.77163,0.72147,0.59408,1.14578,0.00076735,0.00076735,0.00076735
96,2071.51,0.92176,0.85078,1.33639,0.88607,0.84102,0.91519,0.77861,0.67464,0.59596,1.11698,0.000764875,0.000764875,0.000764875
97,2092.58,0.92335,0.86409,1.32296,0.87573,0.89005,0.92736,0.78482,0.66887,0.59213,1.12178,0.0007624,0.0007624,0.0007624
98,2114.4,0.89915,0.82638,1.31698,0.90196,0.85833,0.90442,0.77482,0.66924,0.60872,1.11882,0.000759925,0.000759925,0.000759925
99,2135.96,0.91135,0.82165,1.31482,0.86547,0.85672,0.91593,0.75155,0.73063,0.63341,1.16338,0.00075745,0.00075745,0.00075745
